sel1;gol1;gol2;sel2
18;1;3;205
19;1;3;194
19;1;3;147
26;1;3;168
32;1;3;143
35;1;3;144
36;1;3;143
44;1;3;129
50;1;3;107
52;1;3;135
62;1;3;51
64;1;3;9
66;1;3;165
66;1;3;94
66;1;3;135
68;1;3;153
72;1;3;74
72;1;3;158
75;1;3;30
77;1;3;101
80;1;3;188
82;1;3;194
87;1;3;94
92;1;3;119
92;1;3;91
100;1;3;143
104;1;3;194
104;1;3;105
105;1;3;75
106;1;3;135
109;1;3;58
112;1;3;187
115;1;3;127
118;1;3;3
123;1;3;153
123;1;3;147
123;1;3;75
128;1;3;134
128;1;3;161
130;1;3;194
134;1;3;175
137;1;3;103
144;1;3;35
151;1;3;95
151;1;3;223
152;1;3;39
158;1;3;82
159;1;3;124
161;1;3;173
166;1;3;215
169;1;3;16
169;1;3;155
172;1;3;234
177;1;3;52
178;1;3;120
186;1;3;67
188;1;3;58
192;1;3;108
192;1;3;127
194;1;3;229
199;1;3;50
199;1;3;141
209;1;3;125
211;1;3;151
212;1;3;198
216;1;3;226
217;1;3;108
221;1;3;62
231;1;3;108
232;1;3;50
237;1;3;64
238;1;3;164
240;1;3;235
242;1;3;243
2;1;2;28
3;1;2;91
3;1;2;224
3;1;2;120
5;1;2;239
5;1;2;210
6;1;2;198
12;1;2;86
13;1;2;30
13;1;2;210
13;1;2;225
14;1;2;33
14;1;2;56
16;1;2;231
17;1;2;192
21;1;2;95
28;1;2;55
29;1;2;142
29;1;2;142
29;1;2;229
29;1;2;242
35;1;2;62
35;1;2;229
36;1;2;238
36;1;2;143
37;1;2;167
37;1;2;91
38;1;2;98
41;1;2;79
43;1;2;232
43;1;2;9
43;1;2;106
46;1;2;167
48;1;2;65
51;1;2;78
53;1;2;94
55;1;2;104
55;1;2;86
56;1;2;13
56;1;2;199
56;1;2;82
58;1;2;225
58;1;2;75
59;1;2;35
60;1;2;206
61;1;2;21
61;1;2;131
62;1;2;51
62;1;2;83
64;1;2;168
65;1;2;37
66;1;2;51
66;1;2;90
66;1;2;95
67;1;2;105
67;1;2;147
67;1;2;98
68;1;2;22
70;1;2;28
71;1;2;3
71;1;2;6
74;1;2;230
76;1;2;205
77;1;2;19
77;1;2;104
77;1;2;203
78;1;2;62
80;1;2;103
80;1;2;230
80;1;2;13
82;1;2;234
83;1;2;234
83;1;2;187
83;1;2;187
83;1;2;125
83;1;2;34
84;1;2;55
86;1;2;20
87;1;2;60
87;1;2;23
88;1;2;131
90;1;2;50
90;1;2;223
91;1;2;212
91;1;2;51
91;1;2;62
91;1;2;209
95;1;2;64
97;1;2;74
97;1;2;158
97;1;2;177
99;1;2;161
99;1;2;226
101;1;2;91
102;1;2;185
103;1;2;188
103;1;2;225
103;1;2;19
104;1;2;55
107;1;2;28
107;1;2;231
108;1;2;74
109;1;2;147
110;1;2;242
112;1;2;98
113;1;2;108
113;1;2;185
114;1;2;12
114;1;2;169
116;1;2;56
116;1;2;70
118;1;2;125
118;1;2;71
120;1;2;39
120;1;2;187
120;1;2;62
122;1;2;210
122;1;2;194
123;1;2;225
124;1;2;159
126;1;2;243
126;1;2;91
127;1;2;238
127;1;2;185
127;1;2;231
127;1;2;117
127;1;2;214
129;1;2;243
129;1;2;91
129;1;2;34
132;1;2;224
135;1;2;64
135;1;2;52
137;1;2;160
137;1;2;213
137;1;2;13
137;1;2;177
139;1;2;170
139;1;2;101
141;1;2;147
142;1;2;129
143;1;2;238
146;1;2;217
147;1;2;86
147;1;2;105
149;1;2;127
149;1;2;236
150;1;2;135
152;1;2;187
161;1;2;214
165;1;2;223
165;1;2;50
166;1;2;196
167;1;2;232
170;1;2;147
172;1;2;76
173;1;2;16
173;1;2;225
173;1;2;14
173;1;2;44
173;1;2;54
173;1;2;121
177;1;2;194
184;1;2;39
185;1;2;173
188;1;2;171
190;1;2;204
190;1;2;142
192;1;2;219
192;1;2;214
192;1;2;100
193;1;2;233
196;1;2;166
197;1;2;200
198;1;2;83
198;1;2;242
198;1;2;39
200;1;2;22
204;1;2;115
206;1;2;208
208;1;2;206
209;1;2;126
209;1;2;78
210;1;2;20
212;1;2;243
213;1;2;51
215;1;2;166
216;1;2;89
216;1;2;238
218;1;2;120
218;1;2;183
219;1;2;102
220;1;2;216
220;1;2;115
220;1;2;115
221;1;2;83
222;1;2;4
223;1;2;106
223;1;2;95
224;1;2;129
225;1;2;56
226;1;2;16
229;1;2;125
229;1;2;183
233;1;2;87
234;1;2;46
234;1;2;106
234;1;2;135
240;1;2;127
242;1;2;224
242;1;2;153
1;1;1;128
1;1;1;238
2;1;1;58
3;1;1;177
3;1;1;37
3;1;1;153
6;1;1;153
6;1;1;125
9;1;1;46
9;1;1;30
9;1;1;43
9;1;1;237
10;1;1;188
12;1;1;198
12;1;1;107
12;1;1;214
13;1;1;232
13;1;1;98
13;1;1;213
13;1;1;28
13;1;1;74
13;1;1;80
16;1;1;217
16;1;1;102
17;1;1;204
17;1;1;1
17;1;1;217
18;1;1;211
18;1;1;206
19;1;1;123
19;1;1;219
20;1;1;234
20;1;1;74
20;1;1;86
21;1;1;38
22;1;1;129
22;1;1;221
22;1;1;218
23;1;1;172
28;1;1;20
28;1;1;103
29;1;1;118
29;1;1;144
29;1;1;62
29;1;1;6
30;1;1;43
30;1;1;167
33;1;1;38
33;1;1;130
34;1;1;141
34;1;1;47
34;1;1;187
34;1;1;78
34;1;1;6
34;1;1;198
34;1;1;37
34;1;1;65
34;1;1;22
34;1;1;19
34;1;1;155
34;1;1;37
35;1;1;178
36;1;1;115
37;1;1;62
37;1;1;198
37;1;1;91
37;1;1;242
37;1;1;243
37;1;1;12
37;1;1;153
37;1;1;91
38;1;1;98
38;1;1;83
38;1;1;14
39;1;1;68
40;1;1;21
43;1;1;9
43;1;1;46
43;1;1;52
43;1;1;12
44;1;1;108
44;1;1;150
44;1;1;224
44;1;1;107
44;1;1;52
44;1;1;155
46;1;1;224
46;1;1;168
46;1;1;30
47;1;1;110
47;1;1;78
47;1;1;125
48;1;1;110
48;1;1;242
48;1;1;22
48;1;1;229
48;1;1;120
50;1;1;103
50;1;1;86
50;1;1;66
50;1;1;38
50;1;1;135
50;1;1;95
51;1;1;91
51;1;1;129
51;1;1;83
51;1;1;68
51;1;1;191
51;1;1;22
52;1;1;105
52;1;1;225
52;1;1;74
53;1;1;76
53;1;1;54
54;1;1;11
54;1;1;66
56;1;1;116
56;1;1;58
58;1;1;28
58;1;1;82
58;1;1;176
62;1;1;224
62;1;1;68
62;1;1;37
62;1;1;91
62;1;1;176
62;1;1;48
65;1;1;91
65;1;1;141
67;1;1;177
68;1;1;48
68;1;1;22
70;1;1;84
70;1;1;98
70;1;1;130
71;1;1;209
71;1;1;209
71;1;1;229
72;1;1;116
73;1;1;127
73;1;1;196
74;1;1;86
74;1;1;158
74;1;1;112
74;1;1;121
75;1;1;167
75;1;1;2
76;1;1;87
77;1;1;2
78;1;1;120
78;1;1;142
78;1;1;92
78;1;1;34
79;1;1;144
80;1;1;109
80;1;1;137
80;1;1;103
82;1;1;3
82;1;1;103
82;1;1;105
82;1;1;43
82;1;1;203
83;1;1;120
83;1;1;229
83;1;1;129
83;1;1;178
83;1;1;22
83;1;1;48
83;1;1;65
86;1;1;28
87;1;1;172
87;1;1;60
88;1;1;131
88;1;1;211
90;1;1;66
90;1;1;237
91;1;1;83
91;1;1;129
91;1;1;229
92;1;1;29
92;1;1;129
95;1;1;165
95;1;1;90
95;1;1;198
95;1;1;50
95;1;1;50
95;1;1;234
96;1;1;155
97;1;1;52
98;1;1;97
99;1;1;1
99;1;1;205
100;1;1;61
101;1;1;6
101;1;1;102
101;1;1;107
102;1;1;161
102;1;1;113
102;1;1;155
102;1;1;12
102;1;1;107
102;1;1;214
102;1;1;214
102;1;1;231
103;1;1;170
103;1;1;186
103;1;1;147
103;1;1;213
103;1;1;13
104;1;1;137
105;1;1;123
105;1;1;52
105;1;1;67
105;1;1;203
105;1;1;203
105;1;1;77
106;1;1;131
106;1;1;223
106;1;1;50
106;1;1;66
107;1;1;231
107;1;1;199
107;1;1;214
108;1;1;113
108;1;1;161
108;1;1;120
108;1;1;238
109;1;1;10
110;1;1;35
110;1;1;218
110;1;1;209
110;1;1;229
110;1;1;183
113;1;1;16
113;1;1;240
115;1;1;146
115;1;1;128
116;1;1;70
116;1;1;225
117;1;1;143
117;1;1;108
117;1;1;68
117;1;1;164
118;1;1;78
118;1;1;198
118;1;1;47
118;1;1;243
119;1;1;91
119;1;1;92
120;1;1;83
120;1;1;141
120;1;1;3
120;1;1;209
121;1;1;137
122;1;1;109
122;1;1;231
123;1;1;19
123;1;1;33
124;1;1;36
124;1;1;32
125;1;1;212
125;1;1;41
126;1;1;142
126;1;1;22
126;1;1;118
127;1;1;220
127;1;1;1
127;1;1;96
129;1;1;37
130;1;1;122
131;1;1;54
132;1;1;152
132;1;1;129
132;1;1;110
132;1;1;120
133;1;1;221
133;1;1;47
134;1;1;125
135;1;1;237
135;1;1;234
137;1;1;38
137;1;1;109
139;1;1;213
141;1;1;78
141;1;1;224
141;1;1;91
141;1;1;34
141;1;1;120
142;1;1;6
142;1;1;152
142;1;1;126
142;1;1;242
142;1;1;198
142;1;1;110
143;1;1;150
144;1;1;218
144;1;1;212
144;1;1;118
144;1;1;242
146;1;1;115
147;1;1;64
147;1;1;50
147;1;1;9
147;1;1;225
147;1;1;20
149;1;1;70
151;1;1;66
152;1;1;142
153;1;1;83
153;1;1;65
153;1;1;187
153;1;1;6
158;1;1;173
158;1;1;97
160;1;1;177
160;1;1;56
160;1;1;213
161;1;1;101
161;1;1;108
161;1;1;214
161;1;1;231
164;1;1;217
165;1;1;188
165;1;1;188
165;1;1;64
165;1;1;94
165;1;1;234
165;1;1;135
165;1;1;234
166;1;1;149
168;1;1;135
168;1;1;46
168;1;1;46
170;1;1;171
170;1;1;195
171;1;1;98
171;1;1;43
171;1;1;135
171;1;1;234
172;1;1;8
173;1;1;137
173;1;1;98
173;1;1;16
176;1;1;97
176;1;1;74
176;1;1;210
176;1;1;139
177;1;1;199
177;1;1;137
177;1;1;43
177;1;1;101
178;1;1;48
178;1;1;110
178;1;1;209
178;1;1;37
178;1;1;62
178;1;1;144
185;1;1;232
185;1;1;117
185;1;1;173
186;1;1;122
186;1;1;38
187;1;1;129
187;1;1;37
188;1;1;75
188;1;1;177
188;1;1;239
190;1;1;71
190;1;1;133
191;1;1;126
191;1;1;187
192;1;1;143
192;1;1;96
192;1;1;226
195;1;1;122
195;1;1;230
198;1;1;129
198;1;1;187
198;1;1;153
198;1;1;29
198;1;1;126
198;1;1;118
198;1;1;132
198;1;1;83
198;1;1;6
199;1;1;12
199;1;1;235
199;1;1;188
200;1;1;132
200;1;1;209
204;1;1;124
205;1;1;70
205;1;1;133
206;1;1;60
209;1;1;51
210;1;1;234
210;1;1;170
212;1;1;191
212;1;1;218
212;1;1;243
213;1;1;177
213;1;1;70
213;1;1;56
213;1;1;147
213;1;1;70
214;1;1;12
215;1;1;149
218;1;1;126
218;1;1;71
218;1;1;71
218;1;1;118
218;1;1;133
218;1;1;118
218;1;1;178
218;1;1;126
219;1;1;113
219;1;1;16
219;1;1;214
219;1;1;231
219;1;1;78
220;1;1;164
221;1;1;152
221;1;1;22
223;1;1;88
223;1;1;165
223;1;1;211
223;1;1;93
224;1;1;3
224;1;1;39
224;1;1;68
224;1;1;153
225;1;1;116
226;1;1;101
229;1;1;79
229;1;1;218
229;1;1;71
229;1;1;243
229;1;1;129
230;1;1;116
230;1;1;98
231;1;1;185
232;1;1;50
232;1;1;167
234;1;1;64
234;1;1;95
234;1;1;165
234;1;1;150
234;1;1;237
234;1;1;165
235;1;1;231
236;1;1;73
236;1;1;73
237;1;1;165
237;1;1;64
238;1;1;155
238;1;1;102
238;1;1;96
238;1;1;216
239;1;1;158
239;1;1;80
239;1;1;188
239;1;1;165
240;1;1;102
240;1;1;169
242;1;1;51
242;1;1;62
242;1;1;144
242;1;1;144
242;1;1;78
242;1;1;91
242;1;1;48
242;1;1;212
242;1;1;110
242;1;1;243
243;1;1;120
243;1;1;91
243;1;1;144
1;1;0;114
2;1;0;75
3;1;0;129
3;1;0;187
3;1;0;221
5;1;0;97
6;1;0;71
6;1;0;125
6;1;0;37
7;1;0;31
8;1;0;60
8;1;0;31
8;1;0;90
9;1;0;101
9;1;0;20
9;1;0;232
9;1;0;106
9;1;0;95
9;1;0;232
9;1;0;43
11;1;0;227
12;1;0;86
13;1;0;139
13;1;0;177
13;1;0;137
14;1;0;169
14;1;0;160
16;1;0;108
17;1;0;204
17;1;0;204
17;1;0;146
18;1;0;11
18;1;0;54
19;1;0;150
20;1;0;224
20;1;0;177
20;1;0;107
22;1;0;126
22;1;0;79
22;1;0;153
26;1;0;167
26;1;0;43
29;1;0;35
29;1;0;243
29;1;0;34
30;1;0;188
30;1;0;46
30;1;0;64
30;1;0;43
30;1;0;95
30;1;0;50
30;1;0;46
33;1;0;19
33;1;0;185
34;1;0;229
34;1;0;83
35;1;0;183
35;1;0;59
36;1;0;32
36;1;0;143
36;1;0;1
37;1;0;137
37;1;0;62
37;1;0;132
37;1;0;141
38;1;0;90
38;1;0;95
39;1;0;142
42;1;0;191
42;1;0;65
43;1;0;94
43;1;0;66
43;1;0;232
44;1;0;199
44;1;0;235
46;1;0;50
46;1;0;26
47;1;0;29
47;1;0;132
48;1;0;92
49;1;0;181
50;1;0;232
50;1;0;94
50;1;0;151
50;1;0;165
51;1;0;83
51;1;0;209
51;1;0;152
52;1;0;12
52;1;0;137
52;1;0;230
52;1;0;112
53;1;0;100
53;1;0;90
54;1;0;223
58;1;0;213
58;1;0;10
58;1;0;165
61;1;0;151
62;1;0;132
62;1;0;142
62;1;0;141
62;1;0;34
65;1;0;110
65;1;0;153
65;1;0;224
65;1;0;229
65;1;0;83
65;1;0;141
65;1;0;240
65;1;0;120
65;1;0;229
66;1;0;54
66;1;0;151
67;1;0;58
67;1;0;160
67;1;0;171
67;1;0;195
68;1;0;141
68;1;0;48
70;1;0;195
70;1;0;108
70;1;0;122
70;1;0;55
72;1;0;5
73;1;0;196
74;1;0;72
74;1;0;98
75;1;0;203
75;1;0;213
76;1;0;205
78;1;0;6
79;1;0;132
80;1;0;186
80;1;0;55
82;1;0;43
82;1;0;67
83;1;0;48
83;1;0;62
83;1;0;3
83;1;0;221
83;1;0;229
83;1;0;129
84;1;0;130
87;1;0;93
89;1;0;226
90;1;0;53
90;1;0;66
91;1;0;153
91;1;0;243
92;1;0;110
92;1;0;144
94;1;0;95
95;1;0;151
95;1;0;151
96;1;0;89
97;1;0;2
97;1;0;74
97;1;0;72
97;1;0;50
98;1;0;70
98;1;0;52
99;1;0;89
99;1;0;114
100;1;0;36
101;1;0;199
101;1;0;231
101;1;0;199
101;1;0;44
102;1;0;235
102;1;0;62
102;1;0;238
102;1;0;108
102;1;0;231
103;1;0;80
103;1;0;82
103;1;0;210
103;1;0;80
105;1;0;2
105;1;0;130
105;1;0;33
105;1;0;186
105;1;0;213
105;1;0;104
106;1;0;38
106;1;0;66
106;1;0;211
107;1;0;55
107;1;0;106
107;1;0;155
108;1;0;80
108;1;0;113
109;1;0;14
110;1;0;47
110;1;0;39
110;1;0;142
110;1;0;119
110;1;0;218
112;1;0;161
114;1;0;143
114;1;0;108
114;1;0;226
114;1;0;124
116;1;0;122
118;1;0;110
118;1;0;218
118;1;0;132
118;1;0;47
118;1;0;243
119;1;0;118
119;1;0;224
119;1;0;191
120;1;0;224
120;1;0;178
120;1;0;91
120;1;0;183
121;1;0;182
122;1;0;74
122;1;0;70
123;1;0;77
123;1;0;86
123;1;0;19
125;1;0;126
126;1;0;218
126;1;0;212
126;1;0;47
129;1;0;51
129;1;0;68
132;1;0;133
132;1;0;68
132;1;0;187
132;1;0;22
133;1;0;142
133;1;0;178
135;1;0;37
135;1;0;165
135;1;0;64
135;1;0;167
135;1;0;165
135;1;0;167
135;1;0;43
135;1;0;98
135;1;0;83
135;1;0;95
135;1;0;165
135;1;0;28
139;1;0;83
139;1;0;176
140;1;0;233
141;1;0;120
141;1;0;34
141;1;0;74
141;1;0;51
141;1;0;224
142;1;0;78
142;1;0;133
142;1;0;118
143;1;0;127
143;1;0;127
143;1;0;124
144;1;0;48
144;1;0;152
144;1;0;212
144;1;0;243
146;1;0;204
147;1;0;83
150;1;0;196
151;1;0;211
151;1;0;53
151;1;0;165
152;1;0;144
153;1;0;28
153;1;0;129
153;1;0;218
153;1;0;242
155;1;0;240
155;1;0;102
158;1;0;116
158;1;0;195
158;1;0;150
160;1;0;158
161;1;0;113
161;1;0;240
161;1;0;89
161;1;0;226
161;1;0;240
161;1;0;113
161;1;0;16
161;1;0;164
164;1;0;114
164;1;0;169
165;1;0;66
165;1;0;94
165;1;0;66
165;1;0;50
167;1;0;106
168;1;0;90
168;1;0;237
168;1;0;167
168;1;0;167
169;1;0;114
170;1;0;188
170;1;0;158
171;1;0;10
171;1;0;58
172;1;0;87
173;1;0;12
173;1;0;3
173;1;0;195
173;1;0;44
173;1;0;214
175;1;0;133
176;1;0;72
176;1;0;122
176;1;0;10
177;1;0;194
177;1;0;213
177;1;0;171
177;1;0;83
177;1;0;176
178;1;0;78
178;1;0;62
178;1;0;51
178;1;0;68
184;1;0;71
185;1;0;100
185;1;0;240
185;1;0;219
185;1;0;102
185;1;0;107
186;1;0;80
186;1;0;103
186;1;0;158
186;1;0;173
186;1;0;58
186;1;0;195
186;1;0;194
187;1;0;78
188;1;0;80
191;1;0;212
191;1;0;78
191;1;0;209
192;1;0;1
192;1;0;36
194;1;0;130
194;1;0;56
194;1;0;195
194;1;0;160
195;1;0;210
195;1;0;70
195;1;0;77
195;1;0;194
196;1;0;215
198;1;0;242
198;1;0;187
198;1;0;6
198;1;0;65
198;1;0;144
198;1;0;29
199;1;0;161
199;1;0;150
199;1;0;117
199;1;0;214
199;1;0;137
199;1;0;116
200;1;0;68
203;1;0;105
203;1;0;230
203;1;0;56
205;1;0;8
205;1;0;211
205;1;0;87
208;1;0;54
208;1;0;60
209;1;0;153
209;1;0;191
209;1;0;35
209;1;0;71
209;1;0;132
210;1;0;106
210;1;0;116
210;1;0;19
211;1;0;76
211;1;0;11
211;1;0;93
212;1;0;91
212;1;0;125
212;1;0;62
213;1;0;105
213;1;0;58
214;1;0;192
214;1;0;235
215;1;0;196
216;1;0;192
217;1;0;1
217;1;0;1
218;1;0;243
218;1;0;126
219;1;0;238
219;1;0;96
219;1;0;192
219;1;0;110
221;1;0;229
221;1;0;242
221;1;0;229
223;1;0;8
223;1;0;165
224;1;0;187
224;1;0;221
224;1;0;65
225;1;0;98
225;1;0;139
225;1;0;52
226;1;0;89
229;1;0;125
229;1;0;190
229;1;0;83
229;1;0;35
229;1;0;178
229;1;0;47
229;1;0;48
229;1;0;65
230;1;0;137
230;1;0;77
230;1;0;55
230;1;0;239
230;1;0;74
231;1;0;80
231;1;0;161
231;1;0;108
231;1;0;143
231;1;0;235
231;1;0;102
232;1;0;158
232;1;0;106
232;1;0;168
234;1;0;94
234;1;0;38
234;1;0;64
234;1;0;167
234;1;0;106
235;1;0;164
235;1;0;155
235;1;0;240
235;1;0;169
235;1;0;16
235;1;0;34
235;1;0;214
235;1;0;108
235;1;0;173
236;1;0;149
237;1;0;50
239;1;0;20
239;1;0;158
239;1;0;13
242;1;0;39
243;1;0;242
7;0;10;61
220;0;10;185
228;0;10;236
121;0;8;203
159;0;8;138
181;0;8;166
182;0;8;82
182;0;8;160
222;0;8;196
31;0;7;60
84;0;7;170
84;0;7;82
96;0;7;9
121;0;7;177
135;0;7;43
233;0;7;93
1;0;6;214
1;0;6;107
16;0;6;46
24;0;6;44
31;0;6;208
36;0;6;214
44;0;6;239
59;0;6;212
72;0;6;171
84;0;6;186
84;0;6;20
84;0;6;70
89;0;6;101
112;0;6;52
127;0;6;164
182;0;6;67
182;0;6;56
192;0;6;9
208;0;6;234
227;0;6;76
10;0;5;176
15;0;5;23
84;0;5;116
87;0;5;165
113;0;5;161
115;0;5;199
121;0;5;13
152;0;5;224
198;0;5;30
206;0;5;106
236;0;5;150
7;0;4;208
7;0;4;172
12;0;4;30
16;0;4;235
17;0;4;108
17;0;4;12
19;0;4;213
26;0;4;64
36;0;4;192
37;0;4;52
37;0;4;46
44;0;4;46
59;0;4;209
60;0;4;131
66;0;4;10
79;0;4;198
80;0;4;170
84;0;4;103
84;0;4;28
97;0;4;20
107;0;4;30
121;0;4;105
123;0;4;203
124;0;4;143
130;0;4;67
142;0;4;243
150;0;4;171
161;0;4;12
182;0;4;210
183;0;4;229
185;0;4;137
190;0;4;142
197;0;4;218
208;0;4;90
208;0;4;131
212;0;4;242
225;0;4;30
231;0;4;235
233;0;4;18
234;0;4;9
240;0;4;16
2;0;3;104
5;0;3;137
5;0;3;28
6;0;3;34
7;0;3;151
10;0;3;75
10;0;3;2
12;0;3;203
21;0;3;50
24;0;3;173
24;0;3;1
24;0;3;17
24;0;3;99
30;0;3;147
32;0;3;36
38;0;3;135
41;0;3;125
43;0;3;167
47;0;3;133
55;0;3;20
59;0;3;224
61;0;3;53
64;0;3;30
72;0;3;176
74;0;3;213
78;0;3;51
83;0;3;242
84;0;3;80
95;0;3;210
97;0;3;177
99;0;3;101
104;0;3;239
104;0;3;2
109;0;3;98
109;0;3;139
116;0;3;98
116;0;3;171
116;0;3;210
117;0;3;199
121;0;3;77
122;0;3;67
122;0;3;186
123;0;3;230
123;0;3;28
127;0;3;214
128;0;3;44
128;0;3;164
129;0;3;198
130;0;3;160
130;0;3;70
131;0;3;94
137;0;3;188
138;0;3;115
139;0;3;177
143;0;3;161
151;0;3;234
151;0;3;61
152;0;3;37
158;0;3;52
160;0;3;82
161;0;3;232
172;0;3;38
176;0;3;170
176;0;3;147
177;0;3;239
182;0;3;2
182;0;3;158
184;0;3;141
192;0;3;107
192;0;3;16
196;0;3;149
200;0;3;129
200;0;3;71
209;0;3;198
214;0;3;107
217;0;3;12
218;0;3;35
218;0;3;229
219;0;3;185
220;0;3;127
221;0;3;153
222;0;3;49
222;0;3;181
225;0;3;98
237;0;3;95
238;0;3;219
2;0;2;188
2;0;2;203
5;0;2;171
6;0;2;62
6;0;2;118
6;0;2;133
8;0;2;131
9;0;2;64
11;0;2;76
11;0;2;18
11;0;2;205
13;0;2;147
13;0;2;97
16;0;2;164
18;0;2;106
18;0;2;76
19;0;2;230
20;0;2;105
20;0;2;203
24;0;2;128
24;0;2;164
26;0;2;232
28;0;2;65
29;0;2;187
29;0;2;65
29;0;2;34
29;0;2;198
29;0;2;198
31;0;2;227
32;0;2;216
34;0;2;78
35;0;2;187
36;0;2;107
36;0;2;96
36;0;2;100
37;0;2;43
39;0;2;34
39;0;2;187
42;0;2;78
44;0;2;12
44;0;2;199
44;0;2;98
44;0;2;188
46;0;2;43
48;0;2;198
48;0;2;153
48;0;2;187
50;0;2;234
51;0;2;141
51;0;2;242
53;0;2;234
54;0;2;106
54;0;2;135
56;0;2;225
56;0;2;225
59;0;2;221
60;0;2;206
60;0;2;38
62;0;2;37
64;0;2;46
66;0;2;203
66;0;2;9
69;0;2;29
70;0;2;74
70;0;2;86
70;0;2;20
71;0;2;129
72;0;2;210
73;0;2;150
73;0;2;70
74;0;2;176
74;0;2;70
75;0;2;203
77;0;2;37
77;0;2;194
77;0;2;230
77;0;2;33
78;0;2;68
78;0;2;132
80;0;2;82
82;0;2;75
84;0;2;70
86;0;2;199
86;0;2;158
86;0;2;188
87;0;2;18
89;0;2;155
92;0;2;34
95;0;2;225
95;0;2;90
95;0;2;135
96;0;2;16
97;0;2;213
98;0;2;213
100;0;2;214
102;0;2;168
106;0;2;165
106;0;2;94
107;0;2;232
112;0;2;230
114;0;2;128
115;0;2;169
115;0;2;1
115;0;2;117
115;0;2;113
116;0;2;147
116;0;2;72
116;0;2;97
118;0;2;212
119;0;2;132
121;0;2;213
121;0;2;2
122;0;2;195
123;0;2;171
123;0;2;2
123;0;2;39
124;0;2;99
126;0;2;3
128;0;2;217
128;0;2;240
130;0;2;98
131;0;2;165
133;0;2;132
133;0;2;198
133;0;2;83
137;0;2;213
137;0;2;139
137;0;2;239
138;0;2;216
142;0;2;125
143;0;2;164
143;0;2;199
143;0;2;117
143;0;2;219
144;0;2;187
151;0;2;66
151;0;2;106
153;0;2;62
153;0;2;198
160;0;2;105
162;0;2;164
165;0;2;30
168;0;2;30
171;0;2;39
173;0;2;168
177;0;2;51
178;0;2;187
182;0;2;122
182;0;2;195
182;0;2;5
182;0;2;137
184;0;2;22
184;0;2;37
185;0;2;80
185;0;2;199
185;0;2;161
187;0;2;3
190;0;2;110
190;0;2;3
191;0;2;62
191;0;2;132
197;0;2;152
198;0;2;6
198;0;2;187
203;0;2;43
206;0;2;87
209;0;2;229
210;0;2;67
210;0;2;28
212;0;2;243
213;0;2;20
216;0;2;36
216;0;2;219
216;0;2;102
218;0;2;65
219;0;2;107
223;0;2;101
223;0;2;50
224;0;2;187
226;0;2;169
230;0;2;158
230;0;2;52
231;0;2;107
234;0;2;46
234;0;2;50
237;0;2;30
240;0;2;169
2;0;1;176
2;0;1;171
2;0;1;210
2;0;1;105
3;0;1;242
5;0;1;100
5;0;1;68
5;0;1;205
5;0;1;137
5;0;1;116
5;0;1;173
6;0;1;37
8;0;1;70
9;0;1;171
9;0;1;167
12;0;1;199
13;0;1;103
14;0;1;160
14;0;1;158
14;0;1;19
16;0;1;108
16;0;1;155
17;0;1;217
18;0;1;233
19;0;1;203
21;0;1;95
23;0;1;90
23;0;1;61
24;0;1;96
26;0;1;135
29;0;1;132
30;0;1;46
30;0;1;168
30;0;1;9
33;0;1;52
33;0;1;160
33;0;1;75
34;0;1;243
36;0;1;143
36;0;1;1
36;0;1;108
37;0;1;51
37;0;1;48
38;0;1;46
39;0;1;141
39;0;1;120
39;0;1;229
42;0;1;218
43;0;1;82
44;0;1;109
44;0;1;214
46;0;1;237
46;0;1;9
47;0;1;229
47;0;1;34
48;0;1;37
50;0;1;199
50;0;1;198
51;0;1;144
54;0;1;66
55;0;1;239
55;0;1;20
56;0;1;234
56;0;1;186
58;0;1;171
58;0;1;139
59;0;1;119
61;0;1;208
62;0;1;78
62;0;1;110
65;0;1;224
65;0;1;187
65;0;1;108
66;0;1;165
68;0;1;129
70;0;1;67
70;0;1;210
70;0;1;188
71;0;1;48
71;0;1;83
71;0;1;242
71;0;1;178
72;0;1;97
74;0;1;97
74;0;1;98
74;0;1;52
75;0;1;82
76;0;1;211
77;0;1;203
77;0;1;117
78;0;1;178
78;0;1;48
78;0;1;42
78;0;1;22
79;0;1;187
79;0;1;37
80;0;1;239
86;0;1;176
86;0;1;72
86;0;1;74
86;0;1;19
87;0;1;206
88;0;1;131
88;0;1;54
94;0;1;106
94;0;1;106
94;0;1;168
94;0;1;50
95;0;1;66
95;0;1;165
95;0;1;106
95;0;1;50
96;0;1;155
96;0;1;117
97;0;1;171
98;0;1;43
100;0;1;37
101;0;1;102
102;0;1;113
102;0;1;101
102;0;1;107
102;0;1;214
103;0;1;98
103;0;1;188
104;0;1;20
104;0;1;77
104;0;1;203
105;0;1;50
105;0;1;232
105;0;1;171
105;0;1;103
106;0;1;237
108;0;1;113
108;0;1;199
108;0;1;102
108;0;1;214
109;0;1;225
110;0;1;92
112;0;1;74
113;0;1;16
113;0;1;199
113;0;1;199
115;0;1;99
115;0;1;36
116;0;1;109
117;0;1;113
118;0;1;212
118;0;1;34
119;0;1;51
120;0;1;224
120;0;1;153
121;0;1;104
121;0;1;5
122;0;1;67
123;0;1;213
124;0;1;146
124;0;1;133
126;0;1;118
126;0;1;125
127;0;1;238
128;0;1;173
128;0;1;96
129;0;1;132
130;0;1;105
130;0;1;33
130;0;1;52
130;0;1;195
130;0;1;123
