sel1	gols1	gols2	sel2	data	peso
St. Lucia	2	3	Dominican Republic	735518	1
Guadeloupe	0	1	Curacao	735518	1
Martinique	4	3	St. Vincent and the Grenadines	735518	1
Haiti	0	0	St. Kitts and Nevis	735518	1
Barbados	0	2	French Guiana	735518	1
Tanzania	4	1	Benin	735518	1
Philippines	5	0	Papua New Guinea	735518	1
Lithania	0	2	Slovenia	735518	2.5
Andorra	1	4	Israel	735519	2.5
Bosnia and Herzegovina	1	1	Belgium	735519	2.5
Wales	2	1	Cyprus	735519	2.5
Malta	0	1	Italy	735519	2.5
Croatia	6	0	Azerbaijan	735519	2.5
Latvia	1	1	Turkey	735519	2.5
Iceland	2	0	Netherlands	735519	2.5
Morocco	3	0	Kenya	735519	1
Jordan	1	1	Kuwait	735519	1
Oman	0	3	Uruguay	735519	1
Kazakhstan	2	4	Czech Republic	735519	2.5
Norway	2	1	Bulgaria	735519	2.5
Myanmar	0	0	Timor-Leste	735520	1
Germany	1	1	Ireland	735520	2.5
Gibraltar	0	3	Georgia	735520	2.5
Poland	2	2	Scotland	735520	2.5
Faroe Islands	0	1	Hungary	735520	2.5
Greece	0	2	Northern Ireland	735520	2.5
Serbia	3	0	Albania	735520	2.5
San Marino	0	4	Suisse	735520	2.5
Denmark	0	1	Portugal	735520	2.5
Brunei	2	4	Laos	735520	1
Finland	0	2	Romania	735520	2.5
Macau	2	2	Singapore	735520	1
Armenia	0	3	France	735520	1
United Arab Emirates	0	4	Uzbekistan	735520	1
Saudi Arabia	1	1	Lebanon	735520	1
USA	1	1	Honduras	735520	1
South Korea	1	3	Costa Rica	735520	1
Bahrain	0	0	Iraq	735520	1
Japan	0	4	Brazil	735520	1
Qatar	1	0	Australia	735520	1
Hong Kong	0	7	Argentina	735520	1
China	2	1	Paraguay	735520	1
Cape Verde	1	0	Mozambique	735521	2.5
Ghana	3	1	Guinea	735521	2.5
Togo	1	0	Uganda	735521	2.5
Zambia	3	0	Niger	735521	2.5
Cote dIvoire	3	4	DR Congo	735521	2.5
Tunisia	1	0	Senegal	735521	2.5
Egypt	2	0	Botswana	735521	2.5
Angola	4	0	Lesotho	735521	2.5
Chile	2	2	Bolivia	735521	1
Nigeria	3	1	Sudan	735521	2.5
Algeria	3	0	Malawi	735521	2.5
Canada	0	1	Colombia	735521	1
Mali	2	3	Ethiopia	735521	2.5
South Africa	0	0	Congo	735521	2.5
Cameroon	2	0	Sierra Leone	735521	2.5
Burkina Faso	1	1	Gabon	735521	2.5
Peru	1	0	Guatemala	735521	1
El Salvador	1	5	Ecuador	735521	1
Swaziland	0	2	Zimbabwe	735521	1
Brunei	1	3	Myanmar	735522	1
Timor-Leste	2	3	Cambodia	735522	1
Cambodia	0	1	Myanmar	735524	1
Laos	2	0	Timor-Leste	735524	1
Myanmar	2	1	Laos	735526	1
Cambodia	1	0	Brunei	735526	1
Bangladesh	1	1	Sri Lanka	735530	1
Zambia	1	1	Cote dIvoire	735531	1
Bangladesh	1	0	Sri Lanka	735533	1
Philippines	3	0	Nepal	735537	1
North Korea	0	1	Kuwait	735537	1
Bahrain	2	2	North Korea	735539	1
Kuwait	1	1	Yemen	735541	1
Qatar	3	1	North Korea	735543	1
Saudi Arabia	2	0	Palestine	735543	1
United Arab Emirates	3	2	Lebanon	735543	1
Bahrain	2	0	Singapore	735544	1
Oman	2	0	Yemen	735544	1
Vietnam	1	3	Palestine	735546	1
Uganda	3	0	Ethiopia	735546	1
Thailand	3	0	Philippines	735546	1
Malaysia	0	3	Syria	735548	1
Curacao	2	3	Trinidad and Tobago	735548	1
Indonesia	4	0	Timor-Leste	735548	1
Cuba	1	1	French Guiana	735549	1
Argentina	2	1	Croatia	735549	1
Netherlands	2	3	Mexico	735549	1
Belgium	3	1	Iceland	735549	1
Norway	0	1	Estonia	735549	1
Turkey	0	4	Brazil	735549	1
Haiti	2	2	Antigua and Barbuda	735549	1
Taiwan	1	2	Guam	735550	1
Yemen	0	0	Bahrain	735550	1
Saudi Arabia	1	1	Qatar	735550	1
Uruguay	1	1	Costa Rica	735550	1
Trinidad and Tobago	4	2	French Guiana	735550	1
Morocco	6	1	Benin	735550	1
Singapore	2	0	Laos	735550	1
North Korea	2	1	Hong Kong	735550	1
Jamaica	1	1	Martinique	735550	1
Germany	4	0	Gibraltar	735551	2.5
Martinique	0	3	Haiti	735551	1
Botswana	0	0	Tunisia	735551	2.5
Serbia	1	3	Denmark	735551	2.5
Portugal	1	0	Armenia	735551	2.5
Romania	2	0	Northern Ireland	735551	2.5
Hungary	1	0	Finland	735551	2.5
Greece	0	1	Faroe Islands	735551	2.5
Scotland	1	0	Ireland	735551	2.5
France	1	1	Albania	735551	1
Georgia	0	4	Poland	735551	2.5
United Arab Emirates	0	0	Oman	735551	1
Philippines	3	0	Cambodia	735551	1
USA	1	2	Colombia	735551	1
Japan	6	0	Honduras	735551	1
China	1	1	New Zealand	735551	1
Paraguay	2	1	Peru	735551	1
Jordan	0	1	South Korea	735551	1
Curacao	2	3	Cuba	735551	1
Iraq	0	1	Kuwait	735551	1
Sierra Leone	1	5	Cote dIvoire	735551	2.5
Uganda	1	0	Ghana	735552	2.5
San Marino	0	0	Estonia	735552	2.5
Suisse	4	0	Lithania	735552	2.5
Austria	1	0	Russia	735552	2.5
Togo	1	4	Guinea	735552	2.5
Cape Verde	3	1	Niger	735552	2.5
Malawi	2	0	Mali	735552	2.5
Egypt	0	1	Senegal	735552	2.5
FYR of Macedonia	0	2	Slovakia	735552	2.5
Mozambique	0	1	Zambia	735552	2.5
Montenegro	1	1	Sweden	735552	2.5
Spain	3	0	Belarus	735552	2.5
Moldova	0	1	Liechtenstein	735552	2.5
South Africa	2	1	Sudan	735552	2.5
England	3	1	Slovenia	735552	2.5
El Salvador	1	3	Panama	735552	1
Jamaica	3	0	Antigua and Barbuda	735552	1
French Guiana	4	1	Curacao	735552	1
Chile	5	0	Venezuela	735552	1
Indonesia	0	2	Syria	735552	1
Angola	0	0	Gabon	735552	2.5
Cameroon	1	0	DR Congo	735552	2.5
Algeria	3	1	Ethiopia	735552	2.5
Congo	0	2	Nigeria	735552	2.5
Lesotho	0	1	Burkina Faso	735552	2.5
Luxembourg	0	3	Ukraine	735552	2.5
Bulgaria	1	1	Malta	735553	2.5
Turkey	3	1	Kazakhstan	735553	2.5
Cyprus	5	0	Andorra	735553	2.5
Israel	3	0	Bosnia and Herzegovina	735553	2.5
Italy	1	1	Croatia	735553	2.5
Netherlands	6	0	Latvia	735553	2.5
Czech Republic	2	1	Iceland	735553	2.5
Saudi Arabia	3	0	Bahrain	735553	1
Belgium	0	0	Wales	735553	2.5
Yemen	0	0	Qatar	735553	1
Taiwan	0	1	Hong Kong	735553	1
Guam	1	5	North Korea	735553	1
Swaziland	1	1	Tanzania	735553	1
Vietnam	3	1	Malaysia	735553	1
Antigua and Barbuda	0	2	Martinique	735553	1
Cuba	0	0	Trinidad and Tobago	735553	1
Azerbaijan	0	1	Norway	735553	2.5
Iraq	1	1	Oman	735554	1
Singapore	4	2	Cambodia	735554	1
United Arab Emirates	2	2	Kuwait	735554	1
Poland	2	2	Suisse	735554	1
Jamaica	2	0	Haiti	735554	1
Peru	2	1	Paraguay	735555	1
Hungary	1	2	Russia	735555	1
Cuba	1	2	Haiti	735555	1
Slovenia	0	1	Colombia	735555	1
Spain	0	1	Germany	735555	1
Ukraine	0	0	Lithania	735555	1
Estonia	1	0	Jordan	735555	1
Argentina	0	1	Portugal	735555	1
Italy	1	0	Albania	735555	1
France	1	0	Sweden	735555	1
Thailand	2	0	New Zealand	735555	1
China	0	0	Honduras	735555	1
Bolivia	3	2	Venezuela	735555	1
Belarus	3	2	Mexico	735555	1
Greece	0	2	Serbia	735555	1
Chile	1	2	Uruguay	735555	1
Ireland	4	1	USA	735555	1
Iran	1	0	South Korea	735555	1
Romania	2	0	Denmark	735555	1
Slovakia	2	1	Finland	735555	1
Scotland	1	3	England	735555	1
Austria	1	2	Brazil	735555	1
Panama	0	0	Canada	735555	1
Nicaragua	0	2	El Salvador	735555	1
Japan	2	1	Australia	735555	1
Cote dIvoire	0	0	Cameroon	735556	2.5
Ethiopia	0	0	Malawi	735556	2.5
Sudan	0	1	Congo	735556	2.5
Gabon	4	2	Lesotho	735556	2.5
Ghana	3	1	Togo	735556	2.5
Mali	2	0	Algeria	735556	2.5
Nigeria	2	2	South Africa	735556	2.5
DR Congo	3	1	Sierra Leone	735556	2.5
Bahrain	0	0	Qatar	735556	1
Burkina Faso	1	1	Angola	735556	2.5
Hong Kong	0	0	Guam	735556	1
Zambia	1	0	Cape Verde	735556	2.5
Tunisia	2	1	Egypt	735556	2.5
Niger	1	1	Mozambique	735556	2.5
Senegal	3	0	Botswana	735556	2.5
Guinea	2	0	Uganda	735556	2.5
Saudi Arabia	1	0	Yemen	735556	1
Taiwan	0	0	North Korea	735556	1
Jamaica	1	1	Trinidad and Tobago	735556	1
United Arab Emirates	2	0	Iraq	735557	1
Kuwait	0	5	Oman	735557	1
Philippines	4	1	Laos	735559	1
Vietnam	2	2	Indonesia	735559	1
Singapore	1	2	Thailand	735560	1
Oman	1	3	Qatar	735560	1
Saudi Arabia	3	2	United Arab Emirates	735560	1
Malaysia	0	0	Myanmar	735560	1
United Arab Emirates	1	0	Oman	735561	1
Vietnam	3	0	Laos	735562	1
Philippines	4	0	Indonesia	735562	1
Malaysia	2	3	Thailand	735563	1
Myanmar	2	4	Singapore	735563	1
Saudi Arabia	1	2	Qatar	735563	1
Vietnam	3	1	Philippines	735565	1
Indonesia	5	1	Laos	735565	1
Singapore	1	3	Malaysia	735566	1
Thailand	2	0	Myanmar	735566	1
South Africa	2	0	Cote dIvoire	735567	1
Philippines	0	0	Thailand	735573	1
Malaysia	1	2	Vietnam	735574	1
Thailand	3	0	Philippines	735577	1
Vietnam	2	4	Malaysia	735578	1
China	4	0	Kyrgyzstan	735580	1
Uzbekistan	1	0	Palestine	735580	1
China	2	0	Kyrgyzstan	735584	1
Thailand	2	0	Malaysia	735584	1
Malaysia	3	2	Thailand	735587	1
Jordan	2	1	Uzbekistan	735588	1
China	0	0	Palestine	735588	1
Iraq	1	1	Kuwait	735589	1
Iraq	1	0	Uzbekistan	735592	1
Qatar	3	0	Estonia	735594	1
Uzbekistan	0	0	Iraq	735595	1
United Arab Emirates	1	0	Jordan	735597	1
Bahrain	4	1	Saudi Arabia	735597	1
Qatar	2	2	Oman	735598	1
China	4	1	Oman	735601	1
South Africa	1	0	Zambia	735602	1
Bahrain	1	0	Jordan	735602	1
Iraq	0	1	Iran	735602	1
Saudi Arabia	0	2	South Korea	735602	1
Cameroon	1	1	DR Congo	735605	1
Cape Verde	1	1	Equatorial Guinea	735605	1
Senegal	1	0	Gabon	735607	1
Australia	4	1	Kuwait	735607	3
Saudi Arabia	0	1	China	735608	3
Uzbekistan	1	0	North Korea	735608	3
South Korea	1	0	Oman	735608	3
Burkina Faso	5	1	Swaziland	735608	1
Cameroon	1	1	South Africa	735608	1
Cape Verde	3	2	Congo	735608	1
Nigeria	0	1	Cote dIvoire	735609	1
Tunisia	1	1	Algeria	735609	1
United Arab Emirates	4	1	Qatar	735609	3
Iran	2	0	Bahrain	735609	3
Japan	4	0	Palestine	735610	3
Jordan	0	1	Iraq	735610	3
Senegal	5	2	Guinea	735611	1
Botswana	0	2	Burkina Faso	735611	1
Kuwait	0	1	South Korea	735611	3
Oman	0	4	Australia	735611	3
Mali	0	3	South Africa	735612	1
China	2	1	Uzbekistan	735612	3
North Korea	1	4	Saudi Arabia	735612	3
Sweden	2	0	Cote dIvoire	735613	1
Bahrain	1	2	United Arab Emirates	735613	3
Qatar	0	1	Iran	735613	3
Canada	1	2	Iceland	735614	1
Palestine	1	5	Jordan	735614	3
Iraq	0	1	Japan	735614	3
Nigeria	2	0	Yemen	735615	1
Oman	1	0	Kuwait	735615	3
Australia	0	1	South Korea	735615	3
Burkina Faso	0	2	Gabon	735615	3
Equatorial Guinea	1	1	Congo	735615	3
Tunisia	1	1	Cape Verde	735616	3
Zambia	1	1	DR Congo	735616	3
China	2	1	North Korea	735616	3
Uzbekistan	3	1	Saudi Arabia	735616	3
Sweden	0	1	Finland	735617	1
Canada	1	1	Iceland	735617	1
Iran	1	0	United Arab Emirates	735617	3
Algeria	3	1	South Africa	735617	3
Ghana	1	2	Senegal	735617	3
Qatar	1	2	Bahrain	735617	3
Cote dIvoire	1	1	Guinea	735618	3
Mali	1	1	Cameroon	735618	3
Japan	2	0	Jordan	735618	3
Iraq	2	0	Palestine	735618	3
Gabon	0	1	Congo	735619	3
Equatorial Guinea	0	0	Burkina Faso	735619	3
Cape Verde	0	0	DR Congo	735620	3
Zambia	1	2	Tunisia	735620	3
South Korea	0	0	Uzbekistan	735620	3
Finland	0	0	Yemen	735620	1
China	0	2	Australia	735620	3
Ghana	1	0	Algeria	735621	3
Japan	1	1	United Arab Emirates	735621	3
South Africa	1	1	Senegal	735621	3
Iran	1	1	Iraq	735621	3
Cameroon	1	1	Guinea	735622	3
Cote dIvoire	1	1	Mali	735622	3
Congo	2	1	Burkina Faso	735623	3
Gabon	0	2	Equatorial Guinea	735623	3
Cape Verde	0	0	Zambia	735624	3
South Korea	2	0	Iraq	735624	3
DR Congo	1	1	Tunisia	735624	3
Senegal	0	2	Algeria	735625	3
South Africa	1	2	Ghana	735625	3
Australia	2	0	United Arab Emirates	735625	3
Chile	3	2	USA	735626	1
Guinea	1	1	Mali	735626	3
Cameroon	0	1	Cote dIvoire	735626	3
Curacao	1	1	Aruba	735628	1
Suriname	3	0	Bonaire	735628	1
Iraq	2	3	United Arab Emirates	735628	3
Congo	2	4	DR Congo	735629	3
Tunisia	1	1	Equatorial Guinea	735629	3
South Korea	1	1	Australia	735629	3
Curacao	4	1	Bonaire	735630	1
Suriname	1	0	Aruba	735630	1
Cote dIvoire	3	1	Algeria	735630	3
Ghana	3	0	Guinea	735630	3
Barbados	2	2	Guyana	735631	1
Bangladesh	1	0	Sri Lanka	735631	1
Honduras	2	3	Venezuela	735633	1
DR Congo	1	3	Cote dIvoire	735633	3
Ghana	3	0	Equatorial Guinea	735634	3
Pakistan	2	1	Afghanistan	735635	1
DR Congo	1	1	Equatorial Guinea	735636	3
Romania	0	0	Bulgaria	735636	1
Cote dIvoire	1	1	Ghana	735637	3
USA	2	0	Panama	735637	1
Venezuela	2	1	Honduras	735641	1
Romania	2	1	Moldova	735643	1
Moldova	1	1	Kazakhstan	735647	1
Anguilla	1	0	British Virgin Islands	735657	1
Seychelles	0	2	Kenya	735657	1
Anguilla	3	1	British Virgin Islands	735658	1
Barbados	3	1	St. Vincent and the Grenadines	735663	1
Bermuda	2	2	Grenada	735664	1
Bermuda	2	0	Grenada	735665	1
Barbados	2	2	St. Vincent and the Grenadines	735665	1
Yemen	3	1	Pakistan	735669	2.5
Taiwan	0	1	Brunei	735669	2.5
India	2	0	Nepal	735669	2.5
Cambodia	3	0	Macau	735669	2.5
Timor-Leste	4	1	Mongolia	735669	2.5
Sri Lanka	0	1	Bhutan	735669	2.5
Antigua and Barbuda	1	0	Dominica	735672	1
Bhutan	2	1	Sri Lanka	735674	2.5
Mongolia	0	1	Timor-Leste	735674	2.5
Macau	1	1	Cambodia	735674	2.5
Brunei	0	2	Taiwan	735674	2.5
Nepal	0	0	India	735674	2.5
Antigua and Barbuda	1	0	British Virgin Islands	735679	1
Guyana	2	0	St. Lucia	735680	1
Barbados	0	1	US Virgin Islands	735680	2.5
Pakistan	0	0	Yemen	735680	2.5
Nicaragua	5	0	Anguilla	735681	2.5
St. Kitts and Nevis	6	2	Turks and Caicos Islands	735681	2.5
Scotland	1	0	Northern Ireland	735682	1
Nigeria	0	1	Uganda	735682	1
Swaziland	1	3	South Africa	735682	1
Gabon	4	3	Mali	735682	1
Mauritius	2	2	Burundi	735682	1
Dominican Republic	0	3	Cuba	735682	1
Georgia	2	0	Malta	735682	1
Germany	2	2	Australia	735682	1
Denmark	3	2	USA	735682	1
Indonesia	0	1	Cameroon	735682	1
French Guiana	3	1	Honduras	735683	1
Oman	6	0	Malaysia	735683	1
Jordan	0	1	Syria	735683	1
US Virgin Islands	0	4	Barbados	735683	2.5
Bahamas	0	5	Bermuda	735683	2.5
Belize	0	0	Cayman Islands	735683	2.5
Thailand	2	0	Singapore	735683	1
Bahrain	0	6	Colombia	735683	1
Cote dIvoire	2	0	Angola	735683	1
Egypt	2	0	Equatorial Guinea	735683	1
France	1	3	Brazil	735683	1
Maldives	0	2	Tajikistan	735683	1
Iran	2	0	Chile	735683	1
Qatar	1	0	Algeria	735683	1
England	4	0	Lithania	735684	2.5
FYR of Macedonia	1	2	Belarus	735684	2.5
Suisse	3	0	Estonia	735684	2.5
Slovakia	3	0	Luxembourg	735684	2.5
Liechtenstein	0	5	Austria	735684	2.5
Slovenia	6	0	San Marino	735684	2.5
Montenegro	0	3	Russia	735684	2.5
Moldova	0	2	Sweden	735684	2.5
Spain	1	0	Ukraine	735684	2.5
Turks and Caicos Islands	2	6	St. Kitts and Nevis	735684	2.5
Canada	1	0	Guatemala	735684	1
British Virgin Islands	2	3	Dominica	735684	2.5
Costa Rica	0	0	Paraguay	735684	1
Japan	2	0	Tunisia	735684	1
Gambia	1	0	Mauritania	735684	1
China	2	2	Haiti	735684	1
Trinidad and Tobago	0	1	Panama	735684	1
South Korea	1	1	Uzbekistan	735684	1
Netherlands	1	1	Turkey	735685	2.5
Azerbaijan	2	0	Malta	735685	2.5
Croatia	5	1	Norway	735685	2.5
Bulgaria	2	2	Italy	735685	2.5
Israel	0	3	Wales	735685	2.5
Belgium	5	0	Cyprus	735685	2.5
Czech Republic	1	1	Latvia	735685	2.5
Kazakhstan	0	3	Iceland	735685	2.5
Hong Kong	1	0	Guam	735685	1
Curacao	2	1	Montserrat	735685	2.5
Iraq	2	1	DR Congo	735685	1
Morocco	0	1	Uruguay	735685	1
Ghana	1	2	Senegal	735685	1
Jamaica	2	1	Venezuela	735685	1
Andorra	0	3	Bosnia and Herzegovina	735685	2.5
Mauritius	1	1	Togo	735685	1
Scotland	6	1	Gibraltar	735686	2.5
Romania	1	0	Faroe Islands	735686	2.5
Georgia	0	2	Germany	735686	2.5
Zambia	2	0	Rwanda	735686	1
Ireland	1	1	Poland	735686	2.5
Portugal	2	1	Serbia	735686	2.5
Albania	2	1	Armenia	735686	2.5
Hungary	0	0	Greece	735686	2.5
Northern Ireland	2	1	Finland	735686	2.5
Bermuda	3	0	Bahamas	735686	2.5
Tanzania	1	1	Malawi	735686	1
Botswana	1	2	Mozambique	735686	1
El Salvador	0	2	Argentina	735686	1
Dominica	0	0	British Virgin Islands	735686	2.5
France	2	0	Denmark	735686	1
Cote dIvoire	1	1	Equatorial Guinea	735686	1
Mexico	1	0	Ecuador	735686	1
Anguilla	0	3	Nicaragua	735686	2.5
South Africa	1	1	Nigeria	735686	1
Guyana	2	0	Grenada	735686	1
Brazil	1	0	Chile	735686	1
Oman	1	4	Algeria	735687	1
Cayman Islands	1	1	Belize	735687	2.5
Honduras	3	0	French Guiana	735687	1
Bahrain	2	1	Philippines	735687	1
Jamaica	3	0	Cuba	735687	1
Belarus	0	0	Gabon	735687	1
Colombia	3	1	Kuwait	735687	1
Thailand	2	3	Cameroon	735687	1
Indonesia	2	1	Myanmar	735687	1
Saudi Arabia	2	1	Jordan	735687	1
FYR of Macedonia	0	0	Australia	735687	1
Qatar	1	0	Slovenia	735687	1
Netherlands	2	0	Spain	735688	1
Luxembourg	1	2	Turkey	735688	1
Portugal	0	2	Cape Verde	735688	1
China	1	1	Tunisia	735688	1
Mauritania	2	0	Niger	735688	1
Tajikistan	2	3	Syria	735688	1
Russia	0	0	Kazakhstan	735688	1
Iraq	1	0	DR Congo	735688	1
Singapore	2	2	Guam	735688	1
Liechtenstein	1	0	San Marino	735688	1
Israel	0	1	Belgium	735688	2.5
South Korea	1	0	New Zealand	735688	1
Slovakia	1	0	Czech Republic	735688	1
Panama	2	1	Costa Rica	735688	1
Kyrgyzstan	0	0	Afghanistan	735688	1
Peru	0	1	Venezuela	735688	1
Austria	1	1	Bosnia and Herzegovina	735688	1
Italy	1	1	England	735688	1
Sweden	3	1	Iran	735688	1
Japan	5	1	Uzbekistan	735688	1
Estonia	1	1	Iceland	735688	1
Ghana	1	1	Mali	735688	1
Puerto Rico	0	3	Canada	735688	1
Suisse	1	1	USA	735688	1
Ukraine	1	1	Latvia	735688	1
Argentina	2	1	Ecuador	735689	1
Mexico	1	0	Paraguay	735689	1
El Salvador	0	0	Guatemala	735689	1
Montserrat	2	2	Curacao	735689	2.5
USA	2	0	Mexico	735703	1
Suriname	1	0	Guyana	735719	1
Zambia	2	0	Malawi	735728	1
Barbados	1	3	St. Kitts and Nevis	735728	1
Grenada	2	3	St. Vincent and the Grenadines	735730	1
Kazakhstan	0	0	Burkina Faso	735730	1
Dominican Republic	6	0	Cayman Islands	735731	1
St. Lucia	1	1	Dominica	735731	1
Grenada	1	2	Dominica	735732	1
St. Lucia	1	2	St. Vincent and the Grenadines	735732	1
Lesotho	0	0	South Africa	735732	1
St. Lucia	0	2	Grenada	735734	1
St. Vincent and the Grenadines	1	0	Dominica	735734	1
Lesotho	1	1	South Africa	735734	1
Namibia	0	0	Seychelles	735735	1
Zimbabwe	2	0	Mauritius	735735	1
Vietnam	1	1	North Korea	735735	1
Tanzania	0	1	Swaziland	735736	1
Lesotho	1	2	Madagascar	735736	1
Seychelles	0	1	Zimbabwe	735737	1
Namibia	2	0	Mauritius	735737	1
Madagascar	2	0	Tanzania	735738	1
Lesotho	0	2	Swaziland	735738	1
Thailand	0	1	North Korea	735738	1
Seychelles	0	1	Mauritius	735739	1
Namibia	4	1	Zimbabwe	735739	1
Madagascar	1	1	Swaziland	735740	1
Lesotho	1	0	Tanzania	735740	1
South Africa	1	1	Botswana	735742	1
Zambia	1	1	Namibia	735742	1
Lebanon	2	2	Syria	735742	1
Thailand	1	0	Vietnam	735742	2.5
Ghana	1	2	Madagascar	735743	1
Mozambique	1	1	Malawi	735743	1
South Africa	1	1	Malawi	735745	1
Ghana	0	3	Zambia	735745	1
Madagascar	2	3	Namibia	735746	1
Botswana	1	2	Mozambique	735746	1
Zambia	0	1	Malawi	735747	1
Laos	0	2	Afghanistan	735747	1
Madagascar	2	1	Botswana	735748	1
Namibia	2	0	Mozambique	735748	1
Bahrain	0	0	Oman	735748	1
Bangladesh	1	2	Singapore	735748	1
Jordan	0	0	Lebanon	735748	1
Mexico	3	0	Guatemala	735748	1
Honduras	2	0	El Salvador	735749	1
Northern Ireland	1	1	Qatar	735749	1
Cambodia	1	1	Laos	735751	1
Bangladesh	1	1	Afghanistan	735751	1
Peru	1	1	Mexico	735752	1
Panama	1	1	Ecuador	735752	1
Ireland	0	0	Northern Ireland	735753	1
Cambodia	1	0	Myanmar	735754	1
Thailand	1	1	Bahrain	735754	1
Netherlands	3	4	USA	735754	1
Oman	1	2	Syria	735754	1
Hungary	4	0	Lithania	735754	1
Scotland	1	0	Qatar	735754	1
Jordan	2	2	Kuwait	735754	1
Singapore	5	1	Brunei	735755	1
Burkina Faso	2	3	Cameroon	735755	1
Ecuador	4	0	Panama	735755	1
Chad	2	1	Guinea	735755	1
Niger	2	1	Gabon	735755	1
Mali	2	2	Libya	735755	1
Malaysia	0	0	Hong Kong	735755	1
Colombia	1	0	Costa Rica	735755	1
Bermuda	1	1	Puerto Rico	735755	1
Paraguay	2	2	Honduras	735755	1
Uruguay	5	1	Guatemala	735755	1
Chile	1	0	El Salvador	735755	1
Andorra	0	1	Equatorial Guinea	735755	1
Curacao	1	0	Trinidad and Tobago	735755	1
Ethiopia	0	1	Zambia	735756	1
Ireland	0	0	England	735756	1
Mauritania	1	0	Senegal	735756	1
Croatia	4	0	Gibraltar	735756	1
Kenya	2	0	South Sudan	735756	1
Brazil	2	0	Mexico	735756	1
Russia	4	2	Belarus	735756	1
France	3	4	Belgium	735756	1
Argentina	5	0	Bolivia	735756	1
Serbia	4	1	Azerbaijan	735756	1
Rwanda	2	0	Tanzania	735756	1
Norway	0	0	Sweden	735757	1
Denmark	2	1	Montenegro	735757	1
Ghana	1	0	Togo	735757	1
Egypt	2	1	Malawi	735757	1
Turkey	4	0	Bulgaria	735757	1
Malta	2	0	Lithania	735757	1
Nicaragua	1	0	Suriname	735757	2.5
DR Congo	1	1	Cameroon	735758	1
Luxembourg	0	0	Moldova	735758	1
Uganda	1	1	Gambia	735758	1
Finland	0	2	Estonia	735758	1
Georgia	1	2	Ukraine	735758	1
Germany	1	2	USA	735759	1
Suisse	3	0	Liechtenstein	735759	1
Brazil	1	0	Honduras	735759	1
St. Vincent and the Grenadines	2	2	Guyana	735759	2.5
India	1	2	Oman	735760	2.5
Afghanistan	0	6	Syria	735760	2.5
Aruba	0	2	Barbados	735760	2.5
Tajikistan	1	3	Jordan	735760	2.5
Lebanon	0	1	Kuwait	735760	2.5
Philippines	2	1	Bahrain	735760	2.5
Malaysia	1	1	Timor-Leste	735760	2.5
Cambodia	0	4	Singapore	735760	2.5
Guam	1	0	Turkmenistan	735760	2.5
Bangladesh	1	3	Kyrgyzstan	735760	2.5
Dominican Republic	1	2	Belize	735760	2.5
Uzbekistan	0	1	Iran	735760	1
South Korea	3	0	United Arab Emirates	735760	1
Spain	2	1	Costa Rica	735760	1
Saudi Arabia	3	2	Palestine	735760	2.5
Japan	4	0	Iraq	735760	1
Curacao	0	0	Cuba	735760	2.5
Yemen	0	1	North Korea	735760	2.5
Maldives	0	1	Qatar	735760	2.5
Laos	2	2	Myanmar	735760	2.5
Hong Kong	7	0	Bhutan	735760	2.5
Antigua and Barbuda	1	3	St. Lucia	735760	2.5
Norway	0	0	Azerbaijan	735761	2.5
Croatia	1	1	Italy	735761	2.5
Kazakhstan	0	1	Turkey	735761	2.5
Bosnia and Herzegovina	3	1	Israel	735761	2.5
Latvia	0	2	Netherlands	735761	2.5
Malta	0	1	Bulgaria	735761	2.5
Dominica	0	2	Canada	735761	2.5
Wales	1	0	Belgium	735761	2.5
Morocco	1	0	Libya	735761	2.5
Guinea	1	2	Swaziland	735761	2.5
Chile	2	0	Ecuador	735761	3
Iceland	2	1	Czech Republic	735761	2.5
St. Kitts and Nevis	2	2	El Salvador	735761	2.5
Tunisia	8	1	Djibouti	735761	2.5
Andorra	1	3	Cyprus	735761	2.5
Cape Verde	7	1	São Tome e Ptincipe	735762	2.5
Gibraltar	0	7	Germany	735762	2.5
Denmark	2	0	Serbia	735762	2.5
Poland	4	0	Georgia	735762	2.5
Guatemala	0	0	Bermuda	735762	2.5
Faroe Islands	2	1	Greece	735762	2.5
Ireland	1	1	Scotland	735762	2.5
Algeria	4	0	Seychelles	735762	2.5
Armenia	2	3	Portugal	735762	2.5
Mali	2	0	South Sudan	735762	2.5
Northern Ireland	0	0	Romania	735762	2.5
Burkina Faso	2	0	Comoros	735762	2.5
Argentina	2	2	Paraguay	735762	3
Angola	4	0	Central African Republic	735762	2.5
Puerto Rico	1	0	Grenada	735762	2.5
Mexico	0	0	Bolivia	735762	3
Uruguay	1	0	Jamaica	735762	3
Nigeria	2	0	Chad	735762	2.5
Senegal	3	1	Burundi	735762	2.5
Finland	0	1	Hungary	735762	2.5
Zambia	0	0	Guinea-Bissau	735762	2.5
Uganda	2	0	Botswana	735762	2.5
South Africa	0	0	Gambia	735762	2.5
Albania	1	0	France	735762	1
Malawi	1	2	Zimbabwe	735762	2.5
Belarus	0	1	Spain	735763	2.5
Liechtenstein	1	1	Moldova	735763	2.5
Russia	0	1	Austria	735763	2.5
Lithania	1	2	Suisse	735763	2.5
Slovenia	2	3	England	735763	2.5
Estonia	2	0	San Marino	735763	2.5
Ukraine	3	0	Luxembourg	735763	2.5
DR Congo	2	1	Madagascar	735763	2.5
